cat_code,category,id,ingame_name,class,rarity,rarity_source,rarity_vallode,rarity_guide,rarity_daigo_owned,G_weapon,rarity_9or10,attack_display,class_multiplier,true_raw,affinity,weapon_slots,element,element_true,sharpness,sharpness_plus1,improve_from,create_cost,create_materials,improve_cost,improve_materials,alt_create_materials,improve_to,reload,recoil,max_attack,rapid_fire,ammo_summary,bow_coatings,bow_charge_shots,armor_skills,name_eu_build
5,blademaster_weapon,0,Nothing equipped.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,blademaster_weapon,1,Carbalite Sword,great-sword,6,vallode,6,,,,N,912,4.8,190,0%,0,,,"8,3,11,3","8,3,11,8",Chrome Razor,25000,Carbalite Ore x5; Iron Ore x50; Machalite Ore x20,25000,Carbalite Ore x3; Dragonite Ore x5; Machalite Ore x10,Plus Class Ticket x1; Carbalite Ore x1,Carbalite Sword+; Bronze Coin; Guardian Sword,,,,,,,,,
5,blademaster_weapon,2,Carbalite Sword+,great-sword,6,vallode,6,,,,N,912,4.8,190,0%,0,,,"8,3,11,3","8,3,11,8",Chrome Razor,25000,Carbalite Ore x5; Iron Ore x50; Machalite Ore x20,25000,Carbalite Ore x3; Dragonite Ore x5; Machalite Ore x10,Plus Class Ticket x1; Carbalite Ore x1,Carbalite Sword+; Bronze Coin; Guardian Sword,,,,,,,,,
5,blademaster_weapon,3,Buster Sword,great-sword,1,vallode,1,,,,N,288,4.8,60,0%,0,,,"5,3,7","5,3,9,3",,500,Iron Ore x1; Disk Stone x3,,,,Buster Sword+; White Serpentblade; Blango Destroyer,,,,,,,,,
5,blademaster_weapon,4,Cat's Soul,great-sword,3,vallode,3,,,,N,480,4.8,100,0%,1,Paralysis 200,Paralysis 20,"13,1,6,5","13,1,6,10",Buster Blade,,,2150,Pawprint Stamp x1; Paralysis Sac x4; FlynMealPassReg x2,,Cat's Curse,,,,,,,,,
5,blademaster_weapon,5,Supremacy Blade,long-sword,5,vallode,5,,,,N,960,4.8,200,0%,1,,,"8,3,11,8","8,3,11,10,3","Bone Katana ""Dragon""",,,40000,Daora Tail x4; Teostra Tail x4; Striped Skin x10,,Divine Slasher,,,,,,,,,
5,blademaster_weapon,6,Buster Blade,great-sword,1,vallode,1,,,,N,480,4.8,100,0%,0,,,"5,2,9,3","5,2,9,8",Buster Sword+,,,1400,Iron Ore x6; Machalite Ore x1; Earth Crystal x5,,Ravager Blade; Cat's Soul,,,,,,,,,
5,blademaster_weapon,7,Blue Wing,great-sword,4,vallode,4,,,,N,720,4.8,150,10%,1,Fire 380,Fire 38,"8,3,11,8","8,3,11,10,3",Red Wing,,,6350,Azure Rthlos Shl x3; Rathalos Webbing x3; Flame Sac x3,,Shiny Rathalos Sword,,,,,,,,,
5,blademaster_weapon,8,Ravager Blade,great-sword,2,vallode,2,,,,N,576,4.8,120,0%,0,,,"8,3,11,3","8,3,11,8",Buster Blade,2150,Earth Crystal x15; Iron Ore x15; Ice Crystal x15,2150,Iron Ore x10; Machalite Ore x5; Earth Crystal x10,,Ravager Blade+; Khezu Shock Sword,,,,,,,,,
5,blademaster_weapon,9,Lacerator Blade,great-sword,7,vallode,7,,,,N,1104,4.8,230,0%,1,,,"16,3,2,9","16,3,2,9,5",Carbalite Sword+,,,55000,Azure Rthlos Cpc x2; Tigrex Claw+ x5; Carbalite Ore x10,,Master Blaze,,,,,,,,,
5,blademaster_weapon,10,Iron Katana,long-sword,1,vallode,1,,,,N,480,4.8,100,0%,0,,,"5,3,7","5,3,9,3",Buster Sword+,1400,Machalite Ore x3; Iron Ore x8; Carpenterbug x8; Ice Crystal x8,1400,Iron Ore x5; Machalite Ore x1; Disk Stone x5,Hard Ticket x1; Iron Ore x1,"Iron Katana ""Grace""",,,,,,,,,
5,blademaster_weapon,11,"Iron Katana ""Grace""",long-sword,2,vallode,2,,,,N,528,4.8,110,0%,0,,,"5,3,9,3","5,3,9,8",Iron Katana,,,1750,Iron Ore x10; Machalite Ore x5; Earth Crystal x10,,"Iron Katana ""Gospel""; Dark Scythe",,,,,,,,,
5,blademaster_weapon,12,"Iron Katana ""Gospel""",long-sword,2,vallode,2,,,,N,576,4.8,120,0%,0,,,"13,1,6,5","13,1,6,10","Iron Katana ""Grace""",,,2150,Iron Ore x15; Machalite Ore x12; Earth Crystal x15,,Eager Cleaver; Saber; Mirage Finsword,,,,,,,,,
5,blademaster_weapon,13,"Bone Katana ""Wolf""",long-sword,1,vallode,1,,,,N,528,4.8,110,0%,0,,,"8,3,4","8,3,9",Large Bone,1750,Velocidrome Hide x2; Med Monster Bone x4; Machalite Ore x3; Giadrome Claw x2,1750,Med Monster Bone x2; Velociprey Fang x5; Velociprey Hide x5,,"Bone Katana ""Shark""",,,,,,,,,
5,blademaster_weapon,14,"Bone Katana ""Shark""",long-sword,2,vallode,2,,,,N,576,4.8,120,0%,0,,,"8,3,9","8,3,11,3","Bone Katana ""Wolf""",,,2150,Machalite Ore x2; Piscine Fang x4; Giaprey Scale x8,,"Bone Katana ""Dragon""; Wyvern Blade ""Fall""; Wyvern Blade ""Leaf""",,,,,,,,,
5,blademaster_weapon,15,"Bone Katana ""Dragon""",long-sword,2,vallode,2,,,,N,672,4.8,140,0%,0,,,"8,3,11,3","8,3,11,8","Bone Katana ""Shark""",,,3100,Lightcrystal x2; Wyvern Fang x5; Velocidrome Hide x6,,Supremacy Blade; Fire Dragonsword,,,,,,,,,
5,blademaster_weapon,16,Black Katana Mk.I,long-sword,3,vallode,3,,,,N,576,4.8,120,0%,1,,,"5,3,9,13","5,3,9,14,4",Large Bone,,,2600,Hornetaur Head x2; Hornetaur Wing x10; Demondrug x3,,Black Katana Mk.II,,,,,,,,,
5,blademaster_weapon,17,Black Katana Mk.II,long-sword,4,vallode,4,,,,N,624,4.8,130,10%,1,,,"5,3,9,14,4","5,3,9,14,6,3",Black Katana Mk.I,,,3650,Hornetaur Shell x15; Vespoid Shell x10; Hercudrome x3,,Black Katana Mk.III,,,,,,,,,
5,blademaster_weapon,18,Defender,great-sword,2,vallode,2,,,,N,432,4.8,90,0%,0,,,"3,7,5","3,7,10",Buster Sword+,,,1400,Iron Ore x10; Disk Stone x10; Machalite Ore x2,,Sentinel,,,,,,,,,
