item_id,name_ULES,name_ULUS,name_ENGPATCH,name_JP,name_COMPLETE,item_tag,item_tag_JP,storable,not_storable_reason,is_decoration,x99_able,max_stack,special,rarity,grindable,tradeable
1,Book of Combos 1,Book of Combos 1,Book of Combos 1,調合書①入門編,Book of Combos 1,,,yes,,no,yes,99,,4,no,no
2,Book of Combos 2,Book of Combos 2,Book of Combos 2,調合書②初級編,Book of Combos 2,,,yes,,no,yes,99,,4,no,no
3,Book of Combos 3,Book of Combos 3,Book of Combos 3,調合書③中級編,Book of Combos 3,,,yes,,no,yes,99,,4,no,no
4,Book of Combos 4,Book of Combos 4,Book of Combos 4,調合書④上級編,Book of Combos 4,,,yes,,no,yes,99,,5,no,no
5,Book of Combos 5,Book of Combos 5,Book of Combos 5,調合書⑤達人編,Book of Combos 5,,,yes,,no,yes,99,,5,no,no
6,Alchemy Guide,Alchemy Guide,Alchemy Guide,調合書Ｇ・錬金編,Alchemy Guide,,,yes,,no,yes,99,,5,no,no
7,Potion,Potion,Potion,回復薬,Potion,,,yes,,no,yes,99,,1,no,no
8,Mega Potion,Mega Potion,Mega Potion,回復薬グレート,Mega Potion,,,yes,,no,yes,99,,2,yes,yes
9,Nutrients,Nutrients,Nutrients,栄養剤,Nutrients,,,yes,,no,yes,99,,2,no,no
10,Mega Nutrients,Mega Nutrients,Mega Nutrients,栄養剤グレート,Mega Nutrients,,,yes,,no,yes,99,,3,yes,yes
11,Antidote,Antidote,Antidote,解毒薬,Antidote,,,yes,,no,yes,99,,1,no,no
12,Immunizer,Immunizer,Immunizer,活力剤,Immunizer,,,yes,,no,yes,99,,3,no,no
13,Power Juice,Power Juice,Power Juice,強走薬,Power Juice,,,yes,,no,yes,99,,2,yes,yes
14,Mega Juice,Mega Juice,Mega Juice,強走薬グレート,Mega Juice,,,yes,,no,yes,99,,3,yes,yes
15,Demondrug,Demondrug,Demondrug,鬼人薬,Demondrug,,,yes,,no,yes,99,,4,no,no
16,Mega Demondrug,Mega Demondrug,Mega Demondrug,鬼人薬グレート,Mega Demondrug,,,yes,,no,yes,99,,5,yes,yes
17,Power Pill,Power Pill,Power Pill,怪力の丸薬,Power Pill,,,yes,,no,yes,99,,1,no,no
18,Armorskin,Armorskin,Armorskin,硬化薬,Armorskin,,,yes,,no,yes,99,,4,no,no
19,Mega Armorskin,Mega Armorskin,Mega Armorskin,硬化薬グレート,Mega Armorskin,,,yes,,no,yes,99,,5,yes,yes
20,Armor Pill,Armor Pill,Armor Pill,忍耐の丸薬,Armor Pill,,,yes,,no,yes,99,,1,no,no
21,Cool Drink,Cool Drink,Cool Drink,クーラードリンク,Cool Drink,,,yes,,no,yes,99,,1,no,yes
22,Hot Drink,Hot Drink,Hot Drink,ホットドリンク,Hot Drink,,,yes,,no,yes,99,,1,no,yes
23,Thawing Agent,Thawing Agent,Thawing Agent,解氷剤,Thawing Agent,,,yes,,no,yes,99,,1,no,no
